,SPEAKER,Text
0,SPEAKER_01," Describe to me what, like, if someone knew nothing about guns, how would you explain to them what an AR-15 is?"
1,SPEAKER_00, An AR-15 is a long rifle and it's used as a sporting rifle. It shoots in semi-automatic fire and then there's fully automatic fire. A fully automatic fire is only meant for the military. No legal person is allowed to get it unless they have a firearms license or something like that and stay up to date.
2,SPEAKER_01, Uh-huh.
3,SPEAKER_01," Alright, and so again what's the difference between, you know, for a complete novice, between a semi-automatic and a full automatic?"
4,SPEAKER_00, Fully automatic is continuous fire. Okay. And semi-automatic is single fire. So every time you pull a trigger you only pull once.
5,SPEAKER_01, Okay.
6,SPEAKER_01," Okay, so does that mean you have to pull for each time you fire it or is it do it on its own?"
7,SPEAKER_00," on its own. Like that. And fully on mag, you just hold them on as long as possible until they're completely empty."
8,SPEAKER_01, Live.
9,SPEAKER_01," Okay. Okay, I'll fill it. So, before you do that, I'm just going to check your reading, okay? A little bit. Do you like reading, Nick? Okay. And so, I'm going to ask you to read out a few things out loud. And I just want to make sure you can read all these questions, okay? So I'm just checking out your reading. So let's see. I don't know if you like African animals or anything like that. I like it. This is a book on...let's see if I can find one that might be interesting to you."
10,SPEAKER_00, I like it.
11,SPEAKER_00, anything really
12,SPEAKER_01," Do you like reading or do you like animals? I like animals. Okay, let's do this one."
13,SPEAKER_01, I just want to have you read out a little bit for me.
14,SPEAKER_01, There we go. You might need your glasses because...
15,SPEAKER_00, Yeah.
16,SPEAKER_00, Do you need me to take off my mask or anything? No? Okay.
17,SPEAKER_01, So just start kind of here and read the first couple paragraphs for me.
18,SPEAKER_00," I got it. Indeed, when it comes to the question of which land animal is the fastest, the cheetah winds paws down. It relies on its record-setting speed to chase down prey. Unlike other cats, the cheetah usually hunts during the day. Cat does its best to get within 150 feet of its potential prey, which is less than half the length of American football field, and then quickly rips up to a sprint. If the cheetah succeeds in bringing down its target, it clamps its jaws down on the animal's throat, cutting it off of its air supply. Before digging in, the cat usually moves its meal to an area by a tree."
19,SPEAKER_01," Okay, you're doing fine, yeah. I just wanted to make sure that if I gave you this question or you could read all the questions, but I got it."
20,SPEAKER_00, partially dead.
21,SPEAKER_01," You're right. Okay. So you went there and how big, how many people were in your class?"
22,SPEAKER_00, 30 people at a time.
23,SPEAKER_01," 30 per class and a few... And you're hard to see in the morning, so we..."
24,SPEAKER_00," In JROTC, in morning, so we have different names for morning sessions in JROTC. The morning session I was in first year was really short. There was not that many kids, so we had a chance to speak, get to know one another, build up our confidence with each other."
25,SPEAKER_01, Uh-huh.
26,SPEAKER_01," Okay, so was your JROTC, was that your first class of the day? Yeah. And that's when you went and... I just want to make sure I got the years right, because you left there... uh... roughly when you were... you hadn't quite finished the 11th grade, is that right?"
27,SPEAKER_00," I think so, yeah."
28,SPEAKER_01," I was doing really well in the class. In the JROTC? Yeah. So let's talk about that. Who was your teacher? John DeMaro. Okay, and I've never been in a... Sergeant John DeMaro. In a JROTC class. Okay. So tell me what happens in a JROTC class. Okay."
29,SPEAKER_00, I was gonna re-
30,SPEAKER_00, Sergeant John Tabarro.
